"","Condition","List","GenderRating","NameShown","NameFirst","NameLast","Male","Female","Other","SubjID","SubjGenderMale"
"1","first","2A",5.59,"Jodie","Jodie",NA,1,0,0,"Exp2_P232",1
"2","first","2A",4.22,"Taylor","Taylor",NA,1,0,0,"Exp2_P232",1
"3","first","2A",2.12,"Chris","Chris",NA,0,1,0,"Exp2_P232",1
"4","first","2A",6.73,"Mary","Mary",NA,1,0,0,"Exp2_P232",1
"5","first","2A",3.61,"Stevie","Stevie",NA,1,0,0,"Exp2_P232",1
"6","first","2A",4.73,"Kerry","Kerry",NA,0,1,0,"Exp2_P232",1
"7","first","2A",1.21,"Matthew","Matthew",NA,1,0,0,"Exp2_P232",1
"8","first","3C",6.24,"Ashley","Ashley",NA,0,1,0,"Exp2_P101",0
"9","first","3C",4.39,"Jessie","Jessie",NA,0,1,0,"Exp2_P101",0
"10","first","3C",2.61,"Emerson","Emerson",NA,1,0,0,"Exp2_P101",0
"11","first","3C",3.87,"Reese","Reese",NA,1,0,0,"Exp2_P101",0
"12","first","3C",1.28,"James","James",NA,1,0,0,"Exp2_P101",0
"13","first","3C",6.82,"Emily","Emily",NA,0,1,0,"Exp2_P101",0
"14","first","3C",5.34,"Jackie","Jackie",NA,0,1,0,"Exp2_P101",0
"15","first","1C",1.28,"James","James",NA,1,0,0,"Exp2_P193",1
"16","first","1C",2.61,"Emerson","Emerson",NA,1,0,0,"Exp2_P193",1
"17","first","1C",3.87,"Reese","Reese",NA,0,1,0,"Exp2_P193",1
"18","first","1C",4.39,"Jessie","Jessie",NA,1,0,0,"Exp2_P193",1
"19","first","1C",5.34,"Jackie","Jackie",NA,1,0,0,"Exp2_P193",1
"20","first","1C",6.24,"Ashley","Ashley",NA,0,1,0,"Exp2_P193",1
"21","first","1C",6.82,"Emily","Emily",NA,0,1,0,"Exp2_P193",1
"22","first","2A",5.59,"Jodie","Jodie",NA,1,0,0,"Exp2_P325",1
"23","first","2A",4.22,"Taylor","Taylor",NA,1,0,0,"Exp2_P325",1
"24","first","2A",2.12,"Chris","Chris",NA,0,1,0,"Exp2_P325",1
"25","first","2A",6.73,"Mary","Mary",NA,0,1,0,"Exp2_P325",1
"26","first","2A",3.61,"Stevie","Stevie",NA,1,0,0,"Exp2_P325",1
"27","first","2A",4.73,"Kerry","Kerry",NA,1,0,0,"Exp2_P325",1
"28","first","2A",1.21,"Matthew","Matthew",NA,1,0,0,"Exp2_P325",1
"29","first","1B",1.24,"Brian","Brian",NA,1,0,0,"Exp2_P158",1
"30","first","1B",2.41,"Tommie","Tommie",NA,1,0,0,"Exp2_P158",1
"31","first","1B",3.75,"Quinn","Quinn",NA,1,0,0,"Exp2_P158",1
"32","first","1B",4.34,"Riley","Riley",NA,0,1,0,"Exp2_P158",1
"33","first","1B",5.22,"Blair","Blair",NA,0,1,0,"Exp2_P158",1
"34","first","1B",5.86,"Elisha","Elisha",NA,0,1,0,"Exp2_P158",1
"35","first","1B",6.78,"Rebecca","Rebecca",NA,0,1,0,"Exp2_P158",1
"36","first","2A",5.59,"Jodie","Jodie",NA,1,0,0,"Exp2_P75",1
"37","first","2A",4.22,"Taylor","Taylor",NA,0,1,0,"Exp2_P75",1
"38","first","2A",2.12,"Chris","Chris",NA,1,0,0,"Exp2_P75",1
"39","first","2A",6.73,"Mary","Mary",NA,0,1,0,"Exp2_P75",1
"40","first","2A",3.61,"Stevie","Stevie",NA,0,1,0,"Exp2_P75",1
"41","first","2A",4.73,"Kerry","Kerry",NA,1,0,0,"Exp2_P75",1
"42","first","2A",1.21,"Matthew","Matthew",NA,1,0,0,"Exp2_P75",1
"43","first","3B",5.86,"Elisha","Elisha",NA,0,1,0,"Exp2_P128",1
"44","first","3B",4.34,"Riley","Riley",NA,0,1,0,"Exp2_P128",1
"45","first","3B",2.41,"Tommie","Tommie",NA,1,0,0,"Exp2_P128",1
"46","first","3B",3.75,"Quinn","Quinn",NA,1,0,0,"Exp2_P128",1
"47","first","3B",1.24,"Brian","Brian",NA,1,0,0,"Exp2_P128",1
"48","first","3B",6.78,"Rebecca","Rebecca",NA,1,0,0,"Exp2_P128",1
"49","first","3B",5.22,"Blair","Blair",NA,0,1,0,"Exp2_P128",1
"50","first","2C",6.24,"Ashley","Ashley",NA,0,1,0,"Exp2_P63",1
"51","first","2C",4.39,"Jessie","Jessie",NA,0,1,0,"Exp2_P63",1
"52","first","2C",2.61,"Emerson","Emerson",NA,1,0,0,"Exp2_P63",1
"53","first","2C",6.82,"Emily","Emily",NA,0,1,0,"Exp2_P63",1
"54","first","2C",3.87,"Reese","Reese",NA,0,1,0,"Exp2_P63",1
"55","first","2C",5.34,"Jackie","Jackie",NA,0,1,0,"Exp2_P63",1
"56","first","2C",1.28,"James","James",NA,1,0,0,"Exp2_P63",1
"57","first","3C",6.24,"Ashley","Ashley",NA,0,1,0,"Exp2_P230",1
"58","first","3C",4.39,"Jessie","Jessie",NA,0,1,0,"Exp2_P230",1
"59","first","3C",2.61,"Emerson","Emerson",NA,1,0,0,"Exp2_P230",1
"60","first","3C",3.87,"Reese","Reese",NA,1,0,0,"Exp2_P230",1
"61","first","3C",1.28,"James","James",NA,1,0,0,"Exp2_P230",1
"62","first","3C",6.82,"Emily","Emily",NA,0,1,0,"Exp2_P230",1
"63","first","3C",5.34,"Jackie","Jackie",NA,0,1,0,"Exp2_P230",1
"64","first","1A",1.21,"Matthew","Matthew",NA,1,0,0,"Exp2_P438",1
"65","first","1A",2.12,"Chris","Chris",NA,1,0,0,"Exp2_P438",1
"66","first","1A",3.61,"Stevie","Stevie",NA,1,0,0,"Exp2_P438",1
"67","first","1A",4.22,"Taylor","Taylor",NA,0,1,0,"Exp2_P438",1
"68","first","1A",4.73,"Kerry","Kerry",NA,1,0,0,"Exp2_P438",1
"69","first","1A",5.59,"Jodie","Jodie",NA,1,0,0,"Exp2_P438",1
"70","first","1A",6.73,"Mary","Mary",NA,0,1,0,"Exp2_P438",1
"71","first","1B",1.24,"Brian","Brian",NA,1,0,0,"Exp2_P284",0
"72","first","1B",2.41,"Tommie","Tommie",NA,1,0,0,"Exp2_P284",0
"73","first","1B",3.75,"Quinn","Quinn",NA,0,1,0,"Exp2_P284",0
"74","first","1B",4.34,"Riley","Riley",NA,0,1,0,"Exp2_P284",0
"75","first","1B",5.22,"Blair","Blair",NA,0,1,0,"Exp2_P284",0
"76","first","1B",5.86,"Elisha","Elisha",NA,0,1,0,"Exp2_P284",0
"77","first","1B",6.78,"Rebecca","Rebecca",NA,0,1,0,"Exp2_P284",0
"78","first","1A",1.21,"Matthew","Matthew",NA,1,0,0,"Exp2_P216",1
"79","first","1A",2.12,"Chris","Chris",NA,1,0,0,"Exp2_P216",1
"80","first","1A",3.61,"Stevie","Stevie",NA,0,1,0,"Exp2_P216",1
"81","first","1A",4.22,"Taylor","Taylor",NA,1,0,0,"Exp2_P216",1
"82","first","1A",4.73,"Kerry","Kerry",NA,0,1,0,"Exp2_P216",1
"83","first","1A",5.59,"Jodie","Jodie",NA,0,1,0,"Exp2_P216",1
"84","first","1A",6.73,"Mary","Mary",NA,0,1,0,"Exp2_P216",1
"85","first","3A",5.59,"Jodie","Jodie",NA,1,0,0,"Exp2_P210",1
"86","first","3A",4.22,"Taylor","Taylor",NA,0,1,0,"Exp2_P210",1
"87","first","3A",3.61,"Stevie","Stevie",NA,1,0,0,"Exp2_P210",1
"88","first","3A",4.22,"Taylor","Taylor",NA,1,0,0,"Exp2_P210",1
"89","first","3A",1.21,"Matthew","Matthew",NA,1,0,0,"Exp2_P210",1
"90","first","3A",5.59,"Jodie","Jodie",NA,0,1,0,"Exp2_P210",1
"91","first","3A",4.73,"Kerry","Kerry",NA,0,1,0,"Exp2_P210",1
"92","first","2B",5.86,"Elisha","Elisha",NA,0,1,0,"Exp2_P234",1
"93","first","2B",4.34,"Riley","Riley",NA,0,1,0,"Exp2_P234",1
"94","first","2B",2.41,"Tommie","Tommie",NA,1,0,0,"Exp2_P234",1
"95","first","2B",6.78,"Rebecca","Rebecca",NA,0,1,0,"Exp2_P234",1
"96","first","2B",3.75,"Quinn","Quinn",NA,1,0,0,"Exp2_P234",1
"97","first","2B",5.22,"Blair","Blair",NA,1,0,0,"Exp2_P234",1
"98","first","2B",1.24,"Brian","Brian",NA,1,0,0,"Exp2_P234",1
"99","first","3A",5.59,"Jodie","Jodie",NA,1,0,0,"Exp2_P201",0
"100","first","3A",4.22,"Taylor","Taylor",NA,0,1,0,"Exp2_P201",0
"101","first","3A",3.61,"Stevie","Stevie",NA,1,0,0,"Exp2_P201",0
"102","first","3A",4.22,"Taylor","Taylor",NA,0,1,0,"Exp2_P201",0
"103","first","3A",1.21,"Matthew","Matthew",NA,1,0,0,"Exp2_P201",0
"104","first","3A",5.59,"Jodie","Jodie",NA,1,0,0,"Exp2_P201",0
"105","first","3A",4.73,"Kerry","Kerry",NA,0,1,0,"Exp2_P201",0
"106","first","3B",5.86,"Elisha","Elisha",NA,0,1,0,"Exp2_P203",NA
"107","first","3B",4.34,"Riley","Riley",NA,0,1,0,"Exp2_P203",NA
"108","first","3B",2.41,"Tommie","Tommie",NA,1,0,0,"Exp2_P203",NA
"109","first","3B",3.75,"Quinn","Quinn",NA,0,1,0,"Exp2_P203",NA
"110","first","3B",1.24,"Brian","Brian",NA,1,0,0,"Exp2_P203",NA
"111","first","3B",6.78,"Rebecca","Rebecca",NA,0,1,0,"Exp2_P203",NA
"112","first","3B",5.22,"Blair","Blair",NA,1,0,0,"Exp2_P203",NA
"113","first","1C",1.28,"James","James",NA,1,0,0,"Exp2_P114",0
"114","first","1C",2.61,"Emerson","Emerson",NA,0,1,0,"Exp2_P114",0
"115","first","1C",3.87,"Reese","Reese",NA,1,0,0,"Exp2_P114",0
"116","first","1C",4.39,"Jessie","Jessie",NA,1,0,0,"Exp2_P114",0
"117","first","1C",5.34,"Jackie","Jackie",NA,0,1,0,"Exp2_P114",0
"118","first","1C",6.24,"Ashley","Ashley",NA,1,0,0,"Exp2_P114",0
"119","first","1C",6.82,"Emily","Emily",NA,0,1,0,"Exp2_P114",0
"120","first","2B",5.86,"Elisha","Elisha",NA,0,1,0,"Exp2_P321",1
"121","first","2B",4.34,"Riley","Riley",NA,0,1,0,"Exp2_P321",1
"122","first","2B",2.41,"Tommie","Tommie",NA,1,0,0,"Exp2_P321",1
"123","first","2B",6.78,"Rebecca","Rebecca",NA,1,0,0,"Exp2_P321",1
"124","first","2B",3.75,"Quinn","Quinn",NA,0,1,0,"Exp2_P321",1
"125","first","2B",5.22,"Blair","Blair",NA,0,1,0,"Exp2_P321",1
"126","first","2B",1.24,"Brian","Brian",NA,1,0,0,"Exp2_P321",1
"127","first","1B",1.24,"Brian","Brian",NA,1,0,0,"Exp2_P297",0
"128","first","1B",2.41,"Tommie","Tommie",NA,1,0,0,"Exp2_P297",0
"129","first","1B",3.75,"Quinn","Quinn",NA,1,0,0,"Exp2_P297",0
"130","first","1B",4.34,"Riley","Riley",NA,0,1,0,"Exp2_P297",0
