"","Condition","List","GenderRating","Name","Prompt","He","She","Other","Response","Likeable","Accomplished","Important","SubjID","SubjGenderMale"
"1","first","2B",5.22,"Blair Young","animals",0,0,1,"the number of stray cats that have been rescued and given for adoption has increased. ",2,2,2,"Exp3_P73",1
"2","first","2B",1.24,"Brian Wright","science",1,0,0,"he is going to perform more studies on how 4 years old learns maths. ",2,1,1,"Exp3_P73",1
"3","first","2B",5.86,"Elisha Bell","book",0,1,0,"she became famous overnight. ",2,1,2,"Exp3_P73",1
"4","first","2B",3.75,"Quinn Brooks","politics",0,0,1,"everyone was looking forward to the election. ",2,2,2,"Exp3_P73",1
"5","first","2B",6.78,"Rebecca King","album",0,1,0,"she owes it to her fans. ",2,1,1,"Exp3_P73",1
"6","first","2B",4.34,"Riley Campbell","athlete",0,1,0,"she has the stamina to do it. ",1,1,1,"Exp3_P73",1
"7","first","2B",2.41,"Tommie Hill","meals",1,0,0,"he is very happy with his life. ",2,2,2,"Exp3_P73",1
"8","first","3C",6.24,"Ashley Green","album",0,0,1,"Ashley didn't say anything about this album in particular but others said it was a wonderful breath of fresh air.",2,3,2,"Exp3_P15",0
"9","first","3C",2.61,"Emerson Baker","animals",1,0,0,"Emerson took it upon himself to raise awareness of feral cat populations in the area.",1,1,1,"Exp3_P15",0
"10","first","3C",6.82,"Emily Brooks","politics",0,1,0,"she gained more popularity among voters due to the turnout and her speeches on main topics.",2,1,1,"Exp3_P15",0
"11","first","3C",5.34,"Jackie Walker","book",0,1,0,"she began to focus on writing and left her job at the retail store. She became quite successful and well known in the writing world.",2,2,3,"Exp3_P15",0
"12","first","3C",1.28,"James White","athlete",1,0,0,"he is excited to keep his record going but it also worried that he main sustain injuries.",2,1,2,"Exp3_P15",0
"13","first","3C",4.39,"Jessie Turner","science",0,0,1,"parents of the involved children became more invested in their childs education. ",2,1,1,"Exp3_P15",0
"14","first","3C",3.87,"Reese Campbell","meals",1,0,0,"he has felt much more confident in his abilities to bring his community together.",1,1,1,"Exp3_P15",0
"15","first","3B",5.22,"Blair Hill","book",0,0,1,"it made The New York Times bestseller list.",5,5,5,"Exp3_P373",1
"16","first","3B",1.24,"Brian King","animals",0,0,1,"they adopted out more than 400 animals this season and fixed another 150 strays.",6,6,5,"Exp3_P373",1
"17","first","3B",5.86,"Elisha Moore","politics",0,0,1,"almost 500 people attended.",2,2,2,"Exp3_P373",1
"18","first","3B",3.75,"Quinn Parker","athlete",1,0,0,"he feels good so he's still running.",3,3,3,"Exp3_P373",1
"19","first","3B",6.78,"Rebecca Wright","meals",0,1,0,"she collected money for more than 200 meals for thanksgiving. ",5,5,5,"Exp3_P373",1
"20","first","3B",4.34,"Riley Cook","science",0,1,0,"she explained why the results are important for young children. ",5,5,5,"Exp3_P373",1
"21","first","3B",2.41,"Tommie Smith","album",1,0,0,"he will start recording his next album very soon. ",3,3,3,"Exp3_P373",1
"22","first","3A",2.12,"Chris Young","politics",1,0,0,"His ratings in the polls showed renewed interest and hope.",4,3,3,"Exp3_P332",1
"23","first","3A",5.59,"Jodie Cooper","athlete",0,0,1,"I can only hope and try to do my best. ",3,1,3,"Exp3_P332",1
"24","first","3A",4.73,"Kerry Bell","animals",0,1,0,"She worked hard to make it a success. ",3,1,3,"Exp3_P332",1
"25","first","3A",6.73,"Mary Collins","album",0,0,1,"I am so happy and thankful to all my fans. ",4,3,4,"Exp3_P332",1
"26","first","3A",1.21,"Matthew Brown","science",1,0,0,"he thanked his colleagues and prepared to continue his work. ",4,3,4,"Exp3_P332",1
"27","first","3A",3.61,"Stevie Ward","meals",1,0,0,"his hard work has shown great results. ",2,1,1,"Exp3_P332",1
"28","first","3A",4.22,"Taylor Miller","book",1,0,0,"he went right to work on his next novel. ",3,3,3,"Exp3_P332",1
"29","first","1C",6.24,"Ashley Cook","book",0,1,0,"She wanted to go on and do great things",2,3,2,"Exp3_P310",1
"30","first","1C",2.61,"Emerson Moore","meals",0,0,1,"to feed the homeless and help the community",2,2,2,"Exp3_P310",1
"31","first","1C",6.82,"Emily Ward","album",1,0,0,"he loves what he heard",2,2,2,"Exp3_P310",1
"32","first","1C",5.34,"Jackie Turner","animals",0,1,0,"She continues to do well with growing",2,1,1,"Exp3_P310",1
"33","first","1C",1.28,"James Green","science",1,0,0,"He was surprised",2,1,1,"Exp3_P310",1
"34","first","1C",4.39,"Jessie Brooks","athlete",0,0,1,"I've no clue",2,1,3,"Exp3_P310",1
"35","first","1C",3.87,"Reese King","politics",1,0,0,"he wanted to know about life",2,3,3,"Exp3_P310",1
"36","first","3C",6.24,"Ashley Green","album",0,0,1,"this is my most successful release.",5,1,3,"Exp3_P236",0
"37","first","3C",2.61,"Emerson Baker","animals",0,0,1,"we have adopted over 400 kittens this year.",6,2,1,"Exp3_P236",0
"38","first","3C",6.82,"Emily Brooks","politics",0,1,0,"people were excited about her running.",4,4,4,"Exp3_P236",0
"39","first","3C",5.34,"Jackie Walker","book",0,1,0," She will continue to write more novels.",5,2,3,"Exp3_P236",0
"40","first","3C",1.28,"James White","athlete",0,0,1,"I have a very good chance I am feeling good and I think I can do this.",5,2,3,"Exp3_P236",0
"41","first","3C",4.39,"Jessie Turner","science",1,0,0,"he is looking forward to following these students to see the results.",3,1,2,"Exp3_P236",0
"42","first","3C",3.87,"Reese Campbell","meals",0,0,1,"more people have been helped.",3,4,3,"Exp3_P236",0
"43","first","2A",2.12,"Chris Collins","meals",1,0,0,"He has been able to give families that are down on there luck something to look forward to and know that there are still compassionate people out there.",1,2,2,"Exp3_P69",1
"44","first","2A",5.59,"Jodie Ward","animals",0,1,0,"She has made great strides towards controlling the feral cat population and socializing young cats to get put into good homes.",1,2,2,"Exp3_P69",1
"45","first","2A",4.73,"Kerry Moore","book",1,0,0,"He has become a known author that people are looking forward to reading more books by him in the future.",3,1,3,"Exp3_P69",1
"46","first","2A",6.73,"Mary Brown","politics",0,1,0,"The people think more highly of her and are willing to put their vote behind her because they see her policies as bringing about a bright future.",2,1,1,"Exp3_P69",1
"47","first","2A",1.21,"Matthew Turner","album",1,0,0,"He has been met with amazing support and that his tour is really hitting it off he's now viewed as an accomplished musician.",1,1,1,"Exp3_P69",1
"48","first","2A",3.61,"Stevie Cooper","science",1,0,0,"He mentioned that the newest way to scan young kids is a huge success because it's non invasive  he looks forward to studying the kids as they get older.",2,1,1,"Exp3_P69",1
"49","first","2A",4.22,"Taylor Smith","athlete",1,0,0,"He feels good about his chances of winning and that his training has paid off.",2,1,3,"Exp3_P69",1
"50","first","3A",2.12,"Chris Young","politics",1,0,0,"some constitutes asked him to attend this weekend's county fair to show his community pride and he accepted.",1,2,2,"Exp3_P25",NA
"51","first","3A",5.59,"Jodie Cooper","athlete",0,1,0,"she doesn't think it will be a problem at all because she is more than ready to beat her own records.",1,4,6,"Exp3_P25",NA
"52","first","3A",4.73,"Kerry Bell","animals",1,0,0,"he was able to see the growing need for helping control his local cat population and for possibly expanding to help other communities with theirs.",1,1,1,"Exp3_P25",NA
"53","first","3A",6.73,"Mary Collins","album",0,1,0,"she attributed it to her past relationships and how they filled her life with meaning at the start but then when things went wrong they left her feeling deflated and empty.",4,2,6,"Exp3_P25",NA
"54","first","3A",1.21,"Matthew Brown","science",1,0,0,"he found that many others were interested in his findings so he was able to receive additional funding.",3,1,1,"Exp3_P25",NA
"55","first","3A",3.61,"Stevie Ward","meals",1,0,0,"he has been able to serve more people this holiday season thanks to a record number of donations volunteers and other resources.",1,1,1,"Exp3_P25",NA
"56","first","3A",4.22,"Taylor Miller","book",0,1,0,"she was able to quit her retail job move to a large house and achieve her dream of writing full-time.",3,2,3,"Exp3_P25",NA
"57","first","3B",5.22,"Blair Hill","book",0,0,1,"A reviewer said they were eager to read future books by Blair.",3,1,2,"Exp3_P391",0
"58","first","3B",1.24,"Brian King","animals",0,0,1,"the organization has adopted over 400 animals and spayed/neutered 150 local strays.",1,2,2,"Exp3_P391",0
"59","first","3B",5.86,"Elisha Moore","politics",0,1,0,"she is attracting widespread support from multiple organizations and community leaders even though midterm elections usually have a  history of low turnout at midterm.",4,4,4,"Exp3_P391",0
"60","first","3B",3.75,"Quinn Parker","athlete",1,0,0,"he's feeling good still running and that he will run in 2 more events before the end of the season.",4,4,4,"Exp3_P391",0
"61","first","3B",6.78,"Rebecca Wright","meals",0,0,1,"to collect donations for over 200 Thanksgiving meals.",2,3,3,"Exp3_P391",0
"62","first","3B",4.34,"Riley Cook","science",1,0,0,"he plans to follow the same children for the next few years to see how their brains develop over time as they learn more math.",4,3,4,"Exp3_P391",0
"63","first","3B",2.41,"Tommie Smith","album",1,0,0,"he plans to spend time recording songs for a fourth album.",4,4,4,"Exp3_P391",0
"64","first","3B",5.22,"Blair Hill","book",0,1,0,"she went on to publish even more best-sellers.",2,1,2,"Exp3_P287",0
"65","first","3B",1.24,"Brian King","animals",1,0,0,"he's worked tirelessly to find homes for many unwanted cats.",1,2,2,"Exp3_P287",0
"66","first","3B",5.86,"Elisha Moore","politics",1,0,0,"he went home to have a meal with his beloved family.",1,2,2,"Exp3_P287",0
"67","first","3B",3.75,"Quinn Parker","athlete",1,0,0,"he believes he can do it if he works his hardest and doesn't have any injuries.",2,2,2,"Exp3_P287",0
"68","first","3B",6.78,"Rebecca Wright","meals",0,1,0,"she has been incredibly happy to help others in need.",1,1,1,"Exp3_P287",0
"69","first","3B",4.34,"Riley Cook","science",0,1,0,"she went home to do some further research.",2,2,3,"Exp3_P287",0
"70","first","3B",2.41,"Tommie Smith","album",1,0,0,"he was inspired by his own relationship with his wife.",2,2,1,"Exp3_P287",0
"71","first","3B",5.22,"Blair Hill","book",1,0,0,"his life changed dramatically as he was able to quit his job in retail and devote himself to his true passion - writing.",2,2,3,"Exp3_P370",1
"72","first","3B",1.24,"Brian King","animals",1,0,0,"he was gratified to see the almost immediate success of County Cat Rescue in adopting out kittens.",1,1,2,"Exp3_P370",1
"73","first","3B",5.86,"Elisha Moore","politics",0,1,0,"her approval rating continued to increase and it looked ever more likely she would unseat the incumbent.",3,3,3,"Exp3_P370",1
"74","first","3B",3.75,"Quinn Parker","athlete",1,0,0,"he has a very good chance of winning at least his seventh as he still feels great and ready go continue racing.",3,2,3,"Exp3_P370",1
"75","first","3B",6.78,"Rebecca Wright","meals",0,1,0,"she has been able to do a great deal of good for the communities and in helping those less fortunate.",1,2,1,"Exp3_P370",1
"76","first","3B",4.34,"Riley Cook","science",1,0,0,"a number of new breakthroughs were made and his research became widely viewed as vitally important.",3,2,3,"Exp3_P370",1
"77","first","3B",2.41,"Tommie Smith","album",1,0,0,"its due to his fantastic fans for whom he does his best.",3,1,4,"Exp3_P370",1
"78","first","2C",6.24,"Ashley Walker","science",0,0,1," this study math knowledge lead author in preschoolers.",1,1,1,"Exp3_P110",1
"79","first","2C",2.61,"Emerson Green","athlete",0,0,1," running is a brutal sports and most athletes plan for a recovery period of 1-2 weeks after each long distance race.",1,2,2,"Exp3_P110",1
"80","first","2C",6.82,"Emily Baker","animals",0,0,1,"adopted over 400 animals this season and spayed/neutered an additional 150 local strays.",2,1,1,"Exp3_P110",1
"81","first","2C",5.34,"Jackie White","meals",0,0,1,"We hope a Thanksgiving dinner can help carry on old traditions and celebrate the new families that are built through the support these people give each other during rough periods of their lives.",2,1,1,"Exp3_P110",1
"82","first","2C",1.28,"James Miller","politics",0,0,1,"James is running against the incumbent state legislature member but has been attracting wide support from multiple organizations and community leaders despite a history of low turnouts in midterm election years.",1,1,1,"Exp3_P110",1
"83","first","2C",4.39,"Jessie Cook","book",0,0,1,"Jessie has produced a thought-provoking yet light-hearted story about the moments that shape our liveswrites one reviewerand I am eager to read future books by Jessie.",1,1,1,"Exp3_P110",1
"84","first","2C",3.87,"Reese Parker","album",0,0,1,"Reese plans to spend time recording songs for a fourth album.",1,1,2,"Exp3_P110",1
"85","first","3A",2.12,"Chris Young","politics",1,0,0,"He met with his campaign team to discuss his next moves.",2,2,2,"Exp3_P231",1
"86","first","3A",5.59,"Jodie Cooper","athlete",0,1,0,"She hopes to be at full strength and is confident that she'll compete at a high level",2,2,3,"Exp3_P231",1
"87","first","3A",4.73,"Kerry Bell","animals",1,0,0,"He's seen success in spaying/neuturing thousands of cats lowering the population of suffering strays",2,2,3,"Exp3_P231",1
"88","first","3A",6.73,"Mary Collins","album",0,1,0,"She's grateful for the appreciation of her fans and is excited to perform for them",2,2,3,"Exp3_P231",1
