,Condition,List,GenderRating,Name,Prompt,Male,Female,Other,Likeable,Accomplished,Important,SubjID,SubjGenderMale
1,first,1C,6.24,Ashley Cook,book,0,1,0,2,1,2,Exp4_P338,1
2,first,1C,2.61,Emerson Moore,meals,1,0,0,1,2,1,Exp4_P338,1
3,first,1C,6.82,Emily Ward,album,0,1,0,3,1,5,Exp4_P338,1
4,first,1C,5.34,Jackie Turner,animals,0,1,0,2,4,5,Exp4_P338,1
5,first,1C,1.28,James Green,science,1,0,0,4,2,1,Exp4_P338,1
6,first,1C,4.39,Jessie Brooks,sports,1,0,0,3,2,4,Exp4_P338,1
7,first,1C,3.87,Reese King,politics,1,0,0,3,2,3,Exp4_P338,1
8,first,3B,5.22,Blair Hill,book,1,0,0,3,5,3,Exp4_P9,1
9,first,3B,1.24,Brian King,animals,1,0,0,2,3,2,Exp4_P9,1
10,first,3B,5.86,Elisha Moore,politics,0,1,0,4,3,2,Exp4_P9,1
11,first,3B,3.75,Quinn Parker,sports,1,0,0,3,1,3,Exp4_P9,1
12,first,3B,6.78,Rebecca Wright,meals,0,1,0,2,3,2,Exp4_P9,1
13,first,3B,4.34,Riley Cook,science,0,1,0,4,3,2,Exp4_P9,1
14,first,3B,2.41,Tommie Smith,album,1,0,0,4,2,4,Exp4_P9,1
15,first,2A,2.12,Chris Collins,meals,1,0,0,5,6,6,Exp4_P160,1
16,first,2A,5.59,Jodie Ward,animals,1,0,0,5,5,5,Exp4_P160,1
17,first,2A,4.73,Kerry Moore,book,1,0,0,6,6,6,Exp4_P160,1
18,first,2A,6.73,Mary Brown,politics,1,0,0,6,6,6,Exp4_P160,1
19,first,2A,1.21,Matthew Turner,album,1,0,0,5,5,5,Exp4_P160,1
20,first,2A,3.61,Stevie Cooper,science,1,0,0,6,6,6,Exp4_P160,1
21,first,2A,4.22,Taylor Smith,sports,1,0,0,5,6,5,Exp4_P160,1
22,first,3C,6.24,Ashley Green,album,0,1,0,2,2,4,Exp4_P375,NA
23,first,3C,2.61,Emerson Baker,animals,1,0,0,2,2,3,Exp4_P375,NA
24,first,3C,6.82,Emily Brooks,politics,0,1,0,2,2,3,Exp4_P375,NA
25,first,3C,5.34,Jackie Walker,book,0,1,0,3,4,3,Exp4_P375,NA
26,first,3C,1.28,James White,sports,1,0,0,3,2,3,Exp4_P375,NA
27,first,3C,4.39,Jessie Turner,science,0,1,0,3,2,2,Exp4_P375,NA
28,first,3C,3.87,Reese Campbell,meals,0,1,0,3,3,3,Exp4_P375,NA
29,first,2A,2.12,Chris Collins,meals,1,0,0,1,3,3,Exp4_P329,0
30,first,2A,5.59,Jodie Ward,animals,0,1,0,1,3,3,Exp4_P329,0
31,first,2A,4.73,Kerry Moore,book,0,1,0,4,2,2,Exp4_P329,0
32,first,2A,6.73,Mary Brown,politics,0,1,0,2,1,2,Exp4_P329,0
33,first,2A,1.21,Matthew Turner,album,0,1,0,3,2,2,Exp4_P329,0
34,first,2A,3.61,Stevie Cooper,science,1,0,0,2,2,3,Exp4_P329,0
35,first,2A,4.22,Taylor Smith,sports,1,0,0,3,1,3,Exp4_P329,0
36,first,1B,5.22,Blair Campbell,politics,1,0,0,2,2,2,Exp4_P210,1
37,first,1B,1.24,Brian Walker,sports,1,0,0,2,2,2,Exp4_P210,1
38,first,1B,5.86,Elisha Collins,book,1,0,0,3,2,1,Exp4_P210,1
39,first,1B,3.75,Quinn Young,album,0,1,0,2,2,1,Exp4_P210,1
40,first,1B,6.78,Rebecca Bell,animals,0,1,0,1,3,3,Exp4_P210,1
41,first,1B,4.34,Riley Hill,meals,0,1,0,2,3,3,Exp4_P210,1
42,first,1B,2.41,Tommie Brown,science,1,0,0,4,2,3,Exp4_P210,1
43,first,1B,5.22,Blair Campbell,politics,0,1,0,5,6,4,Exp4_P39,1
44,first,1B,1.24,Brian Walker,sports,1,0,0,6,7,5,Exp4_P39,1
45,first,1B,5.86,Elisha Collins,book,1,0,0,4,5,4,Exp4_P39,1
46,first,1B,3.75,Quinn Young,album,0,1,0,4,6,6,Exp4_P39,1
